rank,username,followerCount,score,signalScore,noisePoints,totalEngagement,engagementRate,averageEngagementPerPost
358,OxDavinci,10823,74.1,67.65,6.45,0,0,0
359,0xZodex,3219,74.08,68.12,5.96,0,0,0
360,jasmcrypto,3229,74.02,67.51,6.52,0,0,0
361,0itsali0,47862,74.02,61.7,12.31,0,0,0
362,drsolar_abs,2511,73.81,68.98,4.83,0,0,0
363,legendarygainz_,48131,73.71,63.64,10.07,0,0,0
364,JasoNFT_,18270,73.66,65.01,8.65,0,0,0
365,solace_okere,5181,73.65,65.26,8.39,0,0,0
366,jupiterbaz,2754,73.6,71.61,1.99,0,0,0
367,OzzyChina,19435,73.55,63.24,10.31,0,0,0
368,Counselor_Ayo,39676,73.54,65.72,7.82,0,0,0
369,gojex__kun,3904,73.51,70.33,3.18,0,0,0
370,NGSAIDUL30,4275,73.49,67.86,5.63,0,0,0
371,tommyunchain,26063,73.47,64.1,9.38,0,0,0
372,Alagbax,4459,73.35,68.43,4.92,0,0,0
373,vhowa,9560,73.3,69.5,3.8,0,0,0
374,AbiodunnS,9194,73.29,65.2,8.09,0,0,0
375,theHYPEconomist,3783,73.25,65.91,7.33,0,0,0
376,RealJonahBlake,89303,73.24,63.23,10.01,0,0,0
377,maxsizehpx02,2862,73.23,70.91,2.32,0,0,0
378,beaniemaxi,228636,73.13,64.71,8.42,0,0,0
379,Febers4,7368,73.13,69.97,3.16,0,0,0
380,Orlermiii,3840,73.11,69.69,3.42,0,0,0
381,SerenaBlez,5742,73.08,68.57,4.51,0,0,0
382,CryptoElla_1,3060,73.07,70.3,2.77,0,0,0
383,hankisinvesting,5914,72.9,67.45,5.45,0,0,0
384,Samtopexchange,84972,72.87,56.28,16.59,0,0,0
385,sekinaababy,2531,72.8,67.93,4.87,0,0,0
386,AdibaIqbalSidd1,2549,72.79,70.63,2.16,0,0,0
387,yawaradoteth,6294,72.73,63.35,9.38,0,0,0
388,Serayah_V,2935,72.68,67.73,4.95,0,0,0
389,MuriscoOfficial,4743,72.67,66.9,5.78,0,0,0
390,0xNarb,29026,72.55,63.19,9.36,0,0,0
391,bigjohnsnfts,3876,72.49,65.64,6.85,0,0,0
392,Giooton,93593,72.48,61.08,11.4,0,0,0
393,0xceneor,3726,72.44,67.94,4.5,0,0,0
394,Ashtronikweb3,2997,72.4,66.77,5.63,0,0,0
395,IdMintThat,23897,72.31,57.69,14.62,0,0,0
396,missteencrypto,102837,72.3,57.43,14.87,0,0,0
397,Badmanmarv,3780,72.16,68.79,3.37,0,0,0
398,richnftcrypto,22613,72.11,62.36,9.76,0,0,0
399,_Ummulkhair_,2783,72.11,63.46,8.65,0,0,0
400,bloomstarbms,233847,72.0,63.96,8.04,0,0,0
401,PalmTreeFlex,3302,72.0,65.49,6.5,0,0,0
402,b_rcfanboy,4370,71.99,68.91,3.08,0,0,0
403,0xEM3KA,3224,71.94,66.54,5.41,0,0,0
404,Itz_SPEEDO,4195,71.93,67.11,4.82,0,0,0
405,CryptooSemih,2555,71.92,66.92,5.0,0,0,0
406,jackieeboy17,5772,71.91,66.35,5.55,0,0,0
407,AbisoyeOmotosho,3541,71.9,67.91,3.99,0,0,0
408,DareTunbosun,2910,71.9,70.14,1.75,0,0,0
409,imVIKI_,4009,71.82,68.88,2.94,0,0,0
410,FareaNFts,63657,71.78,61.62,10.17,0,0,0
411,0xtequilaa,35895,71.78,59.78,11.99,0,0,0
412,altbright_,3326,71.77,63.39,8.38,0,0,0
413,SusanooSOL,8398,71.75,63.95,7.8,0,0,0
414,0xM0RA,2906,71.75,68.04,3.7,0,0,0
415,Iamceejaymac,2926,71.72,65.51,6.21,0,0,0
416,evgen_by,9299,71.71,64.69,7.02,0,0,0
417,_yourbros,20855,71.66,59.2,12.46,0,0,0
418,Napoleecrypt,5418,71.59,65.17,6.43,0,0,0
419,lostsol404,26182,71.54,62.98,8.57,0,0,0
420,Toobbss,31742,71.52,65.6,5.92,0,0,0
421,PrudentSammy,110005,71.48,56.38,15.09,0,0,0
422,MadVincent666,33758,71.46,55.41,16.05,0,0,0
423,Olyvia_Tweets,3979,71.24,62.57,8.68,0,0,0
424,mhkNFTs,119191,71.22,57.32,13.9,0,0,0
425,TOSSWEB3,4366,71.18,62.06,9.11,0,0,0
426,jxstpegs,3966,71.12,64.16,6.97,0,0,0
427,FavManCity,4781,71.07,65.67,5.4,0,0,0
428,0xZhao888,4869,71.05,66.45,4.6,0,0,0
429,offshoda,96332,71.02,59.46,11.55,0,0,0
430,gemspecialist01,4313,71.01,68.29,2.72,0,0,0
431,ifechukwu_eth,3127,71.01,67.1,3.91,0,0,0
432,GuarEmperor,65010,71.0,59.89,11.11,0,0,0
433,rubi_click,49220,71.0,61.23,9.77,0,0,0
434,Tuteth_,25626,70.99,63.72,7.27,0,0,0
435,0xRomku,2700,70.9,65.42,5.48,0,0,0
436,MeshClans,2876,70.88,69.07,1.81,0,0,0
437,Alaouicapital,63773,70.86,63.71,7.15,0,0,0
438,XLmeta_x,4332,70.79,68.76,2.03,0,0,0
439,econoar,191362,70.79,61.33,9.46,0,0,0
440,snoopix_sol,4226,70.78,62.71,8.07,0,0,0
441,kineythor,7233,70.78,62.53,8.25,0,0,0
442,Vcare_eth,2608,70.76,67.58,3.18,0,0,0
443,MrDigit_,19074,70.74,58.31,12.43,0,0,0
444,Crypto_Zh0u,6760,70.71,59.77,10.94,0,0,0
445,Surya_xyz_,4018,70.7,67.67,3.03,0,0,0
446,playmatejaylene,56969,70.63,54.92,15.7,0,0,0
447,rektmando,177740,70.61,62.11,8.49,0,0,0
448,Guo_Jun2,4242,70.55,65.68,4.87,0,0,0
